[2025-02-11 11:47:17,927] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2025-02-11 11:47:18,540] 97 werkzeug - WARNING -  * Debugger is active!
[2025-02-11 11:47:18,550] 97 werkzeug - INFO -  * Debugger PIN: 479-648-325
[2025-02-11 11:47:25,835] 69 root - INFO - Entered initiate_data_ingestion method of DataIngestion class
[2025-02-11 11:47:25,835] 43 root - INFO - exporting data from mongodb
[2025-02-11 11:47:27,762] 56 root - INFO - saving data into feature store file path :artifacts
[2025-02-11 11:47:27,789] 73 root - INFO - got the data from mongo db
[2025-02-11 11:47:27,789] 75 root - INFO - exited initiate_data_ingestion method from dataingestion class
[2025-02-11 11:47:27,789] 57 root - INFO - entered initiate data transformation method in data transformation class
[2025-02-11 11:47:27,827] 54 root - INFO - Entered the save_object method of MainUtils class
[2025-02-11 11:47:27,829] 62 root - INFO - Exited the save_object method of MainUtils class
[2025-02-11 11:47:27,830] 165 root - INFO - Splitting training and testing input and target feature
[2025-02-11 11:47:27,830] 176 root - INFO - Extracting model config file path
[2025-02-11 11:47:39,006] 223 root - INFO - Best found model on both training and testing dataset
[2025-02-11 11:47:39,008] 225 root - INFO - Saving model at path: artifacts/model.pkl
[2025-02-11 11:47:39,008] 54 root - INFO - Entered the save_object method of MainUtils class
[2025-02-11 11:47:39,010] 62 root - INFO - Exited the save_object method of MainUtils class
[2025-02-11 11:47:39,013] 97 werkzeug - INFO - 127.0.0.1 - - [11/Feb/2025 11:47:39] "GET /train HTTP/1.1" 200 -
[2025-02-11 11:47:45,069] 97 werkzeug - INFO - 127.0.0.1 - - [11/Feb/2025 11:47:45] "GET /predict HTTP/1.1" 200 -
[2025-02-11 11:47:45,092] 97 werkzeug - INFO - 127.0.0.1 - - [11/Feb/2025 11:47:45] "[33mGET /script.js HTTP/1.1[0m" 404 -
[2025-02-11 11:47:45,097] 97 werkzeug - INFO - 127.0.0.1 - - [11/Feb/2025 11:47:45] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
[2025-02-11 11:47:52,371] 77 root - INFO - predictions completed
[2025-02-11 11:47:52,371] 50 root - INFO - prediction completed. Downloading prediction file.
[2025-02-11 11:47:52,371] 97 werkzeug - INFO - 127.0.0.1 - - [11/Feb/2025 11:47:52] "POST /predict HTTP/1.1" 200 -
